"sj" "cb" "blockNumber" "blockType" "trialNum" "target" "targetImage" "distractor" "distractorImage" "posture" "setSize" "rt" "resp" "cresp" "ac"
1 1 2 "experimental" 1 "h" "h.bmp" "e" "e.bmp" "SITTING" 4 682 "h" "h" 1
1 1 2 "experimental" 2 "h" "h.bmp" "e" "e.bmp" "SITTING" 8 957 "h" "h" 1
1 1 2 "experimental" 3 "s" "s.bmp" "e" "e.bmp" "SITTING" 8 748 "s" "s" 1
1 1 2 "experimental" 4 "s" "s.bmp" "u" "u.bmp" "SITTING" 4 922 "s" "s" 1
1 1 2 "experimental" 5 "s" "s.bmp" "u" "u.bmp" "SITTING" 8 794 "s" "s" 1
1 1 2 "experimental" 6 "h" "h.bmp" "u" "u.bmp" "SITTING" 8 639 "h" "h" 1
1 1 2 "experimental" 7 "s" "s.bmp" "e" "e.bmp" "SITTING" 4 636 "s" "s" 1
1 1 2 "experimental" 8 "h" "h.bmp" "u" "u.bmp" "SITTING" 4 611 "h" "h" 1
1 1 2 "experimental" 9 "h" "h.bmp" "u" "u.bmp" "SITTING" 8 1156 "h" "h" 1
1 1 2 "experimental" 10 "h" "h.bmp" "e" "e.bmp" "SITTING" 8 816 "h" "h" 1
1 1 2 "experimental" 11 "h" "h.bmp" "e" "e.bmp" "SITTING" 4 663 "h" "h" 1
1 1 2 "experimental" 12 "s" "s.bmp" "u" "u.bmp" "SITTING" 4 677 "s" "s" 1
1 1 2 "experimental" 13 "s" "s.bmp" "e" "e.bmp" "SITTING" 4 639 "s" "s" 1
1 1 2 "experimental" 14 "h" "h.bmp" "u" "u.bmp" "SITTING" 4 697 "h" "h" 1
1 1 2 "experimental" 15 "s" "s.bmp" "e" "e.bmp" "SITTING" 8 794 "s" "s" 1
1 1 2 "experimental" 16 "s" "s.bmp" "u" "u.bmp" "SITTING" 8 959 "s" "s" 1
1 1 2 "experimental" 17 "h" "h.bmp" "e" "e.bmp" "SITTING" 8 827 "h" "h" 1
1 1 2 "experimental" 18 "h" "h.bmp" "u" "u.bmp" "SITTING" 4 757 "h" "h" 1
1 1 2 "experimental" 19 "h" "h.bmp" "u" "u.bmp" "SITTING" 8 748 "h" "h" 1
1 1 2 "experimental" 20 "s" "s.bmp" "e" "e.bmp" "SITTING" 8 940 "s" "s" 1
1 1 2 "experimental" 21 "s" "s.bmp" "e" "e.bmp" "SITTING" 4 888 "s" "s" 1
1 1 2 "experimental" 22 "h" "h.bmp" "e" "e.bmp" "SITTING" 4 683 "h" "h" 1
1 1 2 "experimental" 23 "s" "s.bmp" "u" "u.bmp" "SITTING" 8 670 "s" "s" 1
1 1 2 "experimental" 24 "s" "s.bmp" "u" "u.bmp" "SITTING" 4 656 "s" "s" 1
1 1 2 "experimental" 25 "h" "h.bmp" "u" "u.bmp" "SITTING" 4 888 "h" "h" 1
1 1 2 "experimental" 26 "s" "s.bmp" "e" "e.bmp" "SITTING" 8 834 "s" "s" 1
1 1 2 "experimental" 27 "s" "s.bmp" "e" "e.bmp" "SITTING" 4 877 "s" "s" 1
1 1 2 "experimental" 28 "h" "h.bmp" "e" "e.bmp" "SITTING" 8 920 "h" "h" 1
1 1 2 "experimental" 29 "h" "h.bmp" "u" "u.bmp" "SITTING" 8 848 "h" "h" 1
1 1 2 "experimental" 30 "h" "h.bmp" "e" "e.bmp" "SITTING" 4 709 "h" "h" 1
1 1 2 "experimental" 31 "s" "s.bmp" "u" "u.bmp" "SITTING" 8 689 "s" "s" 1
1 1 2 "experimental" 32 "s" "s.bmp" "u" "u.bmp" "SITTING" 4 846 "s" "s" 1
1 1 2 "experimental" 33 "s" "s.bmp" "e" "e.bmp" "SITTING" 8 979 "s" "s" 1
1 1 2 "experimental" 34 "s" "s.bmp" "u" "u.bmp" "SITTING" 4 723 "s" "s" 1
1 1 2 "experimental" 35 "h" "h.bmp" "e" "e.bmp" "SITTING" 4 803 "h" "h" 1
1 1 2 "experimental" 36 "h" "h.bmp" "e" "e.bmp" "SITTING" 8 731 "h" "h" 1
1 1 2 "experimental" 37 "h" "h.bmp" "u" "u.bmp" "SITTING" 4 670 "h" "h" 1
1 1 2 "experimental" 38 "s" "s.bmp" "e" "e.bmp" "SITTING" 4 697 "s" "s" 1
1 1 2 "experimental" 39 "h" "h.bmp" "u" "u.bmp" "SITTING" 8 910 "h" "h" 1
1 1 2 "experimental" 40 "s" "s.bmp" "u" "u.bmp" "SITTING" 8 749 "s" "s" 1
1 1 2 "experimental" 41 "h" "h.bmp" "u" "u.bmp" "SITTING" 8 691 "h" "h" 1
1 1 2 "experimental" 42 "h" "h.bmp" "e" "e.bmp" "SITTING" 8 808 "h" "h" 1
1 1 2 "experimental" 43 "s" "s.bmp" "u" "u.bmp" "SITTING" 4 806 "s" "s" 1
1 1 2 "experimental" 44 "s" "s.bmp" "e" "e.bmp" "SITTING" 8 709 "s" "s" 1
1 1 2 "experimental" 45 "s" "s.bmp" "u" "u.bmp" "SITTING" 8 772 "s" "s" 1
1 1 2 "experimental" 46 "h" "h.bmp" "u" "u.bmp" "SITTING" 4 680 "h" "h" 1
1 1 2 "experimental" 47 "s" "s.bmp" "e" "e.bmp" "SITTING" 4 593 "s" "s" 1
1 1 2 "experimental" 48 "h" "h.bmp" "e" "e.bmp" "SITTING" 4 730 "h" "h" 1
1 1 2 "experimental" 49 "h" "h.bmp" "u" "u.bmp" "SITTING" 8 797 "h" "h" 1
1 1 2 "experimental" 50 "h" "h.bmp" "e" "e.bmp" "SITTING" 4 683 "h" "h" 1
1 1 2 "experimental" 51 "h" "h.bmp" "e" "e.bmp" "SITTING" 8 647 "h" "h" 1
1 1 2 "experimental" 52 "h" "h.bmp" "u" "u.bmp" "SITTING" 4 677 "h" "h" 1
1 1 2 "experimental" 53 "s" "s.bmp" "e" "e.bmp" "SITTING" 8 957 "s" "s" 1
1 1 2 "experimental" 54 "s" "s.bmp" "u" "u.bmp" "SITTING" 4 658 "s" "s" 1
1 1 2 "experimental" 55 "s" "s.bmp" "e" "e.bmp" "SITTING" 4 611 "s" "s" 1
1 1 2 "experimental" 56 "s" "s.bmp" "u" "u.bmp" "SITTING" 8 604 "s" "s" 1
1 1 2 "experimental" 57 "h" "h.bmp" "e" "e.bmp" "SITTING" 4 754 "h" "h" 1
1 1 2 "experimental" 58 "s" "s.bmp" "e" "e.bmp" "SITTING" 8 891 "s" "s" 1
1 1 2 "experimental" 59 "s" "s.bmp" "e" "e.bmp" "SITTING" 4 630 "s" "s" 1
1 1 2 "experimental" 60 "h" "h.bmp" "u" "u.bmp" "SITTING" 8 826 "h" "h" 1
1 1 2 "experimental" 61 "s" "s.bmp" "u" "u.bmp" "SITTING" 8 788 "s" "s" 1
1 1 2 "experimental" 62 "h" "h.bmp" "e" "e.bmp" "SITTING" 8 736 "h" "h" 1
1 1 2 "experimental" 63 "h" "h.bmp" "u" "u.bmp" "SITTING" 4 684 "h" "h" 1
1 1 2 "experimental" 64 "s" "s.bmp" "u" "u.bmp" "SITTING" 4 576 "s" "s" 1
1 1 2 "experimental" 65 "s" "s.bmp" "e" "e.bmp" "SITTING" 8 676 "s" "s" 1
1 1 2 "experimental" 66 "s" "s.bmp" "e" "e.bmp" "SITTING" 4 670 "s" "s" 1
1 1 2 "experimental" 67 "s" "s.bmp" "u" "u.bmp" "SITTING" 8 512 "s" "s" 1
1 1 2 "experimental" 68 "h" "h.bmp" "e" "e.bmp" "SITTING" 8 917 "h" "h" 1
1 1 2 "experimental" 69 "s" "s.bmp" "u" "u.bmp" "SITTING" 4 577 "s" "s" 1
1 1 2 "experimental" 70 "h" "h.bmp" "u" "u.bmp" "SITTING" 4 657 "h" "h" 1
1 1 2 "experimental" 71 "h" "h.bmp" "u" "u.bmp" "SITTING" 8 754 "h" "h" 1
