"sj" "cb" "blockNumber" "blockType" "trialNum" "congruency" "posture" "wordStim" "inkColour" "rt" "cResp" "resp" "ac"
"1_1_1" 1 2 "experimental" 1 "incongruent" "STANDING" "RED" "green" 677 2 2 1
"1_1_1" 1 2 "experimental" 2 "neutral" "STANDING" "XXX" "red" 338 1 1 1
"1_1_1" 1 2 "experimental" 3 "incongruent" "STANDING" "GREEN" "red" 701 1 1 1
"1_1_1" 1 2 "experimental" 4 "neutral" "STANDING" "XXXXX" "red" 337 1 1 1
"1_1_1" 1 2 "experimental" 5 "congruent" "STANDING" "GREEN" "green" 397 2 2 1
"1_1_1" 1 2 "experimental" 6 "incongruent" "STANDING" "RED" "green" 381 2 2 1
"1_1_1" 1 2 "experimental" 7 "congruent" "STANDING" "GREEN" "green" 255 2 2 1
"1_1_1" 1 2 "experimental" 8 "congruent" "STANDING" "RED" "red" 293 1 1 1
"1_1_1" 1 2 "experimental" 9 "neutral" "STANDING" "XXXXX" "green" 458 2 2 1
"1_1_1" 1 2 "experimental" 10 "congruent" "STANDING" "RED" "red" 392 1 1 1
"1_1_1" 1 2 "experimental" 11 "incongruent" "STANDING" "GREEN" "red" 385 1 1 1
"1_1_1" 1 2 "experimental" 12 "neutral" "STANDING" "XXX" "green" 426 2 2 1
"1_1_1" 1 2 "experimental" 13 "congruent" "STANDING" "GREEN" "green" 561 2 2 1
"1_1_1" 1 2 "experimental" 14 "neutral" "STANDING" "XXXXX" "red" 419 1 1 1
"1_1_1" 1 2 "experimental" 15 "neutral" "STANDING" "XXX" "red" 346 1 1 1
"1_1_1" 1 2 "experimental" 16 "congruent" "STANDING" "RED" "red" 332 1 1 1
"1_1_1" 1 2 "experimental" 17 "neutral" "STANDING" "XXXXX" "green" 368 2 2 1
"1_1_1" 1 2 "experimental" 18 "incongruent" "STANDING" "RED" "green" 514 2 2 1
"1_1_1" 1 2 "experimental" 19 "congruent" "STANDING" "GREEN" "green" 350 2 2 1
"1_1_1" 1 2 "experimental" 20 "neutral" "STANDING" "XXX" "green" 512 2 2 1
"1_1_1" 1 2 "experimental" 21 "incongruent" "STANDING" "GREEN" "red" 332 1 1 1
"1_1_1" 1 2 "experimental" 22 "congruent" "STANDING" "RED" "red" 351 1 1 1
"1_1_1" 1 2 "experimental" 23 "incongruent" "STANDING" "RED" "green" 450 2 2 1
"1_1_1" 1 2 "experimental" 24 "incongruent" "STANDING" "GREEN" "red" 392 1 1 1
"1_1_1" 1 2 "experimental" 25 "incongruent" "STANDING" "RED" "green" 441 2 2 1
"1_1_1" 1 2 "experimental" 26 "congruent" "STANDING" "GREEN" "green" 431 2 2 1
"1_1_1" 1 2 "experimental" 27 "incongruent" "STANDING" "GREEN" "red" 335 1 1 1
"1_1_1" 1 2 "experimental" 28 "neutral" "STANDING" "XXX" "red" 402 1 1 1
"1_1_1" 1 2 "experimental" 29 "neutral" "STANDING" "XXX" "green" 301 2 2 1
"1_1_1" 1 2 "experimental" 30 "congruent" "STANDING" "RED" "red" 327 1 1 1
"1_1_1" 1 2 "experimental" 31 "neutral" "STANDING" "XXXXX" "red" 371 1 1 1
"1_1_1" 1 2 "experimental" 32 "congruent" "STANDING" "GREEN" "green" 309 2 2 1
"1_1_1" 1 2 "experimental" 33 "incongruent" "STANDING" "RED" "green" 353 2 2 1
"1_1_1" 1 2 "experimental" 34 "incongruent" "STANDING" "GREEN" "red" 292 1 1 1
"1_1_1" 1 2 "experimental" 35 "congruent" "STANDING" "RED" "red" 304 1 1 1
"1_1_1" 1 2 "experimental" 36 "neutral" "STANDING" "XXXXX" "green" 301 2 2 1
"1_1_1" 1 3 "experimental" 1 "neutral" "STANDING" "XXX" "red" 378 1 1 1
"1_1_1" 1 3 "experimental" 2 "congruent" "STANDING" "GREEN" "green" 275 2 2 1
"1_1_1" 1 3 "experimental" 3 "neutral" "STANDING" "XXXXX" "red" 321 1 1 1
"1_1_1" 1 3 "experimental" 4 "neutral" "STANDING" "XXXXX" "green" 285 2 2 1
"1_1_1" 1 3 "experimental" 5 "incongruent" "STANDING" "RED" "green" 394 2 2 1
"1_1_1" 1 3 "experimental" 6 "incongruent" "STANDING" "GREEN" "red" 267 1 1 1
"1_1_1" 1 3 "experimental" 7 "incongruent" "STANDING" "RED" "green" 377 2 2 1
"1_1_1" 1 3 "experimental" 8 "congruent" "STANDING" "RED" "red" 322 1 1 1
"1_1_1" 1 3 "experimental" 9 "neutral" "STANDING" "XXX" "green" 262 2 2 1
"1_1_1" 1 3 "experimental" 10 "incongruent" "STANDING" "GREEN" "red" 340 1 1 1
"1_1_1" 1 3 "experimental" 11 "congruent" "STANDING" "GREEN" "green" 310 2 2 1
"1_1_1" 1 3 "experimental" 12 "congruent" "STANDING" "RED" "red" 274 1 1 1
"1_1_1" 1 3 "experimental" 13 "neutral" "STANDING" "XXX" "red" 152 2 1 0
"1_1_1" 1 3 "experimental" 14 "incongruent" "STANDING" "RED" "green" 498 1 2 0
"1_1_1" 1 3 "experimental" 15 "incongruent" "STANDING" "GREEN" "red" 382 1 1 1
"1_1_1" 1 3 "experimental" 16 "congruent" "STANDING" "GREEN" "green" 519 2 2 1
"1_1_1" 1 3 "experimental" 17 "neutral" "STANDING" "XXX" "green" 435 2 2 1
"1_1_1" 1 3 "experimental" 18 "congruent" "STANDING" "RED" "red" 346 1 1 1
"1_1_1" 1 3 "experimental" 19 "incongruent" "STANDING" "RED" "green" 381 2 2 1
"1_1_1" 1 3 "experimental" 20 "neutral" "STANDING" "XXXXX" "green" 566 2 2 1
"1_1_1" 1 3 "experimental" 21 "congruent" "STANDING" "RED" "red" 368 1 1 1
"1_1_1" 1 3 "experimental" 22 "congruent" "STANDING" "GREEN" "green" 626 2 2 1
"1_1_1" 1 3 "experimental" 23 "incongruent" "STANDING" "GREEN" "red" 352 1 1 1
"1_1_1" 1 3 "experimental" 24 "neutral" "STANDING" "XXXXX" "red" 339 1 1 1
"1_1_1" 1 3 "experimental" 25 "incongruent" "STANDING" "RED" "green" 398 2 2 1
"1_1_1" 1 3 "experimental" 26 "incongruent" "STANDING" "GREEN" "red" 390 1 1 1
"1_1_1" 1 3 "experimental" 27 "neutral" "STANDING" "XXXXX" "green" 447 2 2 1
"1_1_1" 1 3 "experimental" 28 "neutral" "STANDING" "XXX" "red" 397 1 1 1
"1_1_1" 1 3 "experimental" 29 "congruent" "STANDING" "RED" "red" 574 1 1 1
