"participant","session","condition","trialType","posture","blockNum","trialNum","switchTrialType","congruentTrialType","cueType","shapeType","shapeColor","response","correctResponse","correct","reactionTime","date","utcTime","condblock","correct_bin"
1,1,1,"experiment","standing",1,2,"noswitch","incongruent","solid","square","blue","left","left","yes",594.734907150269,"2021-11-10 10:22:00",1636561744.12815,"standing1",1
1,1,1,"experiment","standing",1,3,"switch","incongruent","dashed","square","blue","right","right","yes",708.487033843994,"2021-11-10 10:22:00",1636561746.19499,"standing1",1
1,1,1,"experiment","standing",1,4,"noswitch","incongruent","dashed","square","blue","right","right","yes",599.519968032837,"2021-11-10 10:22:00",1636561748.13982,"standing1",1
1,1,1,"experiment","standing",1,5,"noswitch","congruent","dashed","square","yellow","right","right","yes",439.940929412842,"2021-11-10 10:22:00",1636561749.911,"standing1",1
1,1,1,"experiment","standing",1,6,"noswitch","congruent","dashed","square","yellow","right","right","yes",384.72580909729,"2021-11-10 10:22:00",1636561751.62303,"standing1",1
1,1,1,"experiment","standing",1,7,"switch","congruent","solid","triangle","blue","left","left","yes",464.102983474731,"2021-11-10 10:22:00",1636561753.45475,"standing1",1
1,1,1,"experiment","standing",1,8,"noswitch","congruent","solid","square","yellow","right","right","yes",291.98694229126,"2021-11-10 10:22:00",1636561755.1092,"standing1",1
1,1,1,"experiment","standing",1,9,"switch","congruent","dashed","square","yellow","right","right","yes",398.140907287598,"2021-11-10 10:22:00",1636561756.87917,"standing1",1
1,1,1,"experiment","standing",1,10,"noswitch","incongruent","dashed","square","blue","right","right","yes",644.129037857056,"2021-11-10 10:22:00",1636561758.888,"standing1",1
1,1,1,"experiment","standing",1,11,"noswitch","incongruent","dashed","square","blue","right","right","yes",406.224012374878,"2021-11-10 10:22:00",1636561760.65866,"standing1",1
1,1,1,"experiment","standing",1,12,"switch","congruent","solid","triangle","blue","left","left","yes",555.38010597229,"2021-11-10 10:22:00",1636561762.54751,"standing1",1
1,1,1,"experiment","standing",1,13,"noswitch","congruent","solid","triangle","blue","left","left","yes",567.210912704468,"2021-11-10 10:22:00",1636561764.43612,"standing1",1
1,1,1,"experiment","standing",1,14,"switch","incongruent","dashed","triangle","yellow","left","left","yes",595.412015914917,"2021-11-10 10:22:00",1636561766.38635,"standing1",1
1,1,1,"experiment","standing",1,15,"noswitch","congruent","dashed","triangle","blue","left","left","yes",1151.58200263977,"2021-11-10 10:22:00",1636561768.86718,"standing1",1
1,1,1,"experiment","standing",1,16,"noswitch","congruent","dashed","square","yellow","right","right","yes",527.726888656616,"2021-11-10 10:22:00",1636561770.75903,"standing1",1
1,1,1,"experiment","standing",1,19,"switch","congruent","dashed","triangle","blue","left","left","yes",1083.97698402405,"2021-11-10 10:22:00",1636561788.66076,"standing1",1
1,1,1,"experiment","standing",1,20,"switch","incongruent","solid","square","blue","right","left","no",690.286874771118,"2021-11-10 10:22:00",1636561790.72821,"standing1",0
1,1,1,"experiment","standing",1,22,"switch","congruent","solid","square","yellow","right","right","yes",515.806913375854,"2021-11-10 10:22:00",1636561805.38816,"standing1",1
1,1,1,"experiment","standing",1,23,"switch","incongruent","dashed","triangle","yellow","left","left","yes",627.094030380249,"2021-11-10 10:22:00",1636561807.33605,"standing1",1
1,1,1,"experiment","standing",1,24,"switch","congruent","solid","square","yellow","right","right","yes",609.241962432861,"2021-11-10 10:22:00",1636561809.28764,"standing1",1
1,1,1,"experiment","standing",1,25,"switch","congruent","dashed","triangle","blue","left","left","yes",830.000162124634,"2021-11-10 10:22:00",1636561811.47644,"standing1",1
1,1,1,"experiment","standing",1,26,"switch","incongruent","solid","triangle","yellow","right","right","yes",510.948896408081,"2021-11-10 10:22:00",1636561813.3692,"standing1",1
1,1,1,"experiment","standing",1,27,"switch","congruent","dashed","triangle","blue","left","left","yes",524.319887161255,"2021-11-10 10:22:00",1636561815.26143,"standing1",1
1,1,1,"experiment","standing",1,28,"noswitch","incongruent","dashed","square","blue","right","right","yes",476.336002349854,"2021-11-10 10:22:00",1636561817.09525,"standing1",1
1,1,1,"experiment","standing",1,29,"switch","incongruent","solid","triangle","yellow","right","right","yes",657.994985580444,"2021-11-10 10:22:00",1636561819.10312,"standing1",1
1,1,1,"experiment","standing",1,30,"noswitch","congruent","solid","triangle","blue","left","left","yes",438.060998916626,"2021-11-10 10:22:00",1636561820.87565,"standing1",1
1,1,1,"experiment","standing",1,31,"switch","incongruent","dashed","triangle","yellow","left","left","yes",377.665042877197,"2021-11-10 10:22:00",1636561822.58799,"standing1",1
1,1,1,"experiment","standing",1,32,"noswitch","congruent","dashed","square","yellow","right","right","yes",680.729866027832,"2021-11-10 10:22:00",1636561824.65626,"standing1",1
1,1,1,"experiment","standing",1,33,"switch","incongruent","solid","triangle","yellow","right","right","yes",505.386829376221,"2021-11-10 10:22:00",1636561826.48579,"standing1",1
1,1,1,"experiment","standing",1,34,"noswitch","incongruent","solid","triangle","yellow","right","right","yes",647.799968719482,"2021-11-10 10:22:00",1636561828.49416,"standing1",1
1,1,1,"experiment","standing",1,35,"switch","congruent","dashed","triangle","blue","left","left","yes",748.785018920898,"2021-11-10 10:22:00",1636561830.56096,"standing1",1
1,1,1,"experiment","standing",1,36,"switch","congruent","solid","square","yellow","right","right","yes",856.34708404541,"2021-11-10 10:22:00",1636561832.74582,"standing1",1
1,1,1,"experiment","standing",1,37,"noswitch","incongruent","solid","square","blue","left","left","yes",1092.21696853638,"2021-11-10 10:22:00",1636561835.16891,"standing1",1
1,1,1,"experiment","standing",1,38,"noswitch","incongruent","solid","triangle","yellow","right","right","yes",790.499925613403,"2021-11-10 10:22:00",1636561837.29539,"standing1",1
1,1,1,"experiment","standing",1,39,"noswitch","congruent","solid","triangle","blue","left","left","yes",421.741008758545,"2021-11-10 10:22:00",1636561839.07152,"standing1",1
1,1,1,"experiment","standing",1,40,"noswitch","congruent","solid","square","yellow","right","right","yes",585.99591255188,"2021-11-10 10:22:00",1636561841.02115,"standing1",1
1,1,1,"experiment","standing",1,41,"switch","congruent","dashed","square","yellow","right","right","yes",768.738985061646,"2021-11-10 10:22:00",1636561843.14502,"standing1",1
1,1,1,"experiment","standing",1,42,"noswitch","incongruent","dashed","square","blue","right","right","yes",528.064012527466,"2021-11-10 10:22:00",1636561845.03587,"standing1",1
1,1,1,"experiment","standing",1,43,"switch","congruent","solid","square","yellow","right","right","yes",722.939014434814,"2021-11-10 10:22:00",1636561847.10411,"standing1",1
1,1,1,"experiment","standing",1,44,"noswitch","incongruent","solid","square","blue","right","left","no",617.738962173462,"2021-11-10 10:22:00",1636561849.05274,"standing1",0
1,1,1,"experiment","standing",1,45,"noswitch","incongruent","solid","square","blue","left","left","yes",1458.86087417603,"2021-11-10 10:22:00",1636561856.82661,"standing1",1
1,1,1,"experiment","standing",1,46,"switch","incongruent","dashed","triangle","yellow","left","left","yes",521.074056625366,"2021-11-10 10:22:00",1636561858.65655,"standing1",1
1,1,1,"experiment","standing",1,47,"noswitch","incongruent","dashed","triangle","yellow","left","left","yes",400.420188903809,"2021-11-10 10:22:00",1636561860.36801,"standing1",1
1,1,1,"experiment","standing",1,48,"noswitch","congruent","dashed","triangle","blue","left","left","yes",441.375017166138,"2021-11-10 10:22:00",1636561862.14104,"standing1",1
1,1,1,"experiment","standing",1,49,"switch","incongruent","solid","square","blue","left","left","yes",406.144142150879,"2021-11-10 10:22:00",1636561863.91328,"standing1",1
